year,school_name,major_code,major_name,college,planned_enrollment,retest_count,admitted_count,retest_ratio,retest_max_score,retest_min_score,retest_avg_score,retest_politics_avg,retest_english_subject,retest_english_avg,retest_math_subject,retest_math_avg,retest_prof_subject,retest_prof_avg,admitted_max_score,admitted_min_score,admitted_avg_score,admitted_politics_avg,admitted_english_subject,admitted_english_avg,admitted_math_subject,admitted_math_avg,admitted_prof_subject,admitted_prof_avg
2026,清华大学,085400,电子信息01超精密技术,013 精密仪器系,6,8,6,1.33,412.0,333.0,376.9,59.9,201英语一,73.4,301数学一,124.6,822控制工程基础,119.0,412.0,366.0,388.8,,201英语一,,301数学一,,822控制工程基础,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,清华大学,085400,电子信息03微系统工程,013 精密仪器系,4,12,6,2.0,412.0,354.0,380.6,62.8,201英语一,70.7,301数学一,124.8,822控制工程基础,122.2,412.0,363.0,386.2,,201英语一,,301数学一,,822控制工程基础,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,清华大学,085500,机械,015 车辆与运载学院,3,8,4,2.0,395.0,345.0,371.1,61.5,201英语一,70.4,301数学一,117.6,822控制工程基础,121.6,390.0,356.0,380.2,,201英语一,,301数学一,,822控制工程基础,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,清华大学,085800,能源动力,015 车辆与运载学院,2,3,2,1.5,421.0,338.0,379.0,61.0,201英语一,68.0,301数学一,132.0,822控制工程基础,118.0,421.0,378.0,399.5,,201英语一,,301数学一,,822控制工程基础,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,清华大学,085400,电子信息07仪器仪表工程,599 深圳国际研究生院,13,16,13,1.23,407.0,372.0,386.8,62.6,201英语一,70.7,301数学一,127.2,822控制工程基础,126.2,407.0,372.0,388.0,,201英语一,,301数学一,,822控制工程基础,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,清华大学,085400,电子信息08智能制造,599 深圳国际研究生院,12,26,15,1.73,434.0,370.0,393.4,63.0,201英语一,74.2,301数学一,128.1,822控制工程基础,128.1,434.0,370.0,399.5,,201英语一,,301数学一,,822控制工程基础,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,清华大学,085400,电子信息09海洋技术与工程,599 深圳国际研究生院,17,22,18,1.22,423.0,332.0,367.5,60.2,201英语一,66.6,301数学一,120.8,822控制工程基础,119.9,423.0,338.0,374.2,,201英语一,,301数学一,,822控制工程基础,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,清华大学,085500,机械 01（全日制）智能制造,599 深圳国际研究生院,21,38,22,1.73,420.0,373.0,392.5,63.6,201英语一,72.4,301数学一,130.2,822控制工程基础,126.2,420.0,374.0,396.5,,201英语一,,301数学一,,822控制工程基础,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,清华大学,085500,机械 02（全日制）未来科技与产业项目,599 深圳国际研究生院,2,,,,,,,,201英语一,,301数学一,,822控制工程基础,,,,,,201英语一,,301数学一,,822控制工程基础,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,中国科学技术大学,085406,控制工程,210 信息科学技术学院,21,32,24,1.33,417.0,360.0,380.2,65.6,201英语一,73.3,301数学一,130.2,845自动控制理论,111.1,417.0,361.0,382.5,,201英语一,,301数学一,,845自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,中国科学技术大学,081100,控制科学与工程,210 信息科学技术学院,9,20,16,1.25,381.0,321.0,354.8,64.0,201英语一,70.0,301数学一,122.2,845自动控制理论,98.5,381.0,329.0,360.5,,201英语一,,301数学一,,845自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,中国科学技术大学,085400,电子信息 方向4（安光所，等离子体所、智能所）,168 研究生院科学岛分院,21,,,,,,,,204英语二,,302数学二,,845自动控制理论,,,,,,204英语二,,302数学二,,845自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
