subject_name,school_name,tier,region,codes
自动控制原理,上海交通大学,985高校,上海,"[""817""]"
自动控制原理,东北大学,985高校,辽宁,"[""839""]"
自动控制原理,东南大学,985高校,江苏,"[""835""]"
自动控制原理,中南大学,985高校,湖南,"[""846"", ""895""]"
自动控制原理,中山大学,985高校,广东,"[""889""]"
自动控制原理,华中科技大学,985高校,湖北,"[""829""]"
自动控制原理,南京大学,985高校,江苏,"[""865""]"
自动控制原理,南开大学,985高校,天津,"[""810""]"
自动控制原理,厦门大学,985高校,福建,"[""844""]"
自动控制原理,吉林大学,985高校,吉林,"[""812""]"
自动控制原理,同济大学,985高校,上海,"[""825""]"
自动控制原理,四川大学,985高校,四川,"[""871""]"
自动控制原理,国防科技大学,985高校,湖南,"[""851""]"
自动控制原理,大连理工大学,985高校,辽宁,"[""854""]"
自动控制原理,山东大学,985高校,山东,"[""847""]"
自动控制原理,武汉大学,985高校,湖北,"[""856""]"
自动控制原理,湖南大学,985高校,湖南,"[""823""]"
自动控制原理,电子科技大学,985高校,四川,"[""839""]"
自动控制原理,西北工业大学,985高校,陕西,"[""821""]"
自动控制原理,重庆大学,985高校,重庆,"[""844""]"
自动控制原理,中国矿业大学（徐州）,211高校,江苏,"[""868""]"
自动控制原理,内蒙古大学,211高校,内蒙古,"[""867""]"
自动控制原理,北京化工大学,211高校,北京,"[""841""]"
自动控制原理,北京工业大学,211高校,北京,"[""821""]"
自动控制原理,北京林业大学,211高校,北京,"[""855""]"
自动控制原理,北京科技大学,211高校,北京,"[""851""]"
自动控制原理,南京林业大学,211高校,江苏,"[""834""]"
自动控制原理,南京航空航天大学,211高校,江苏,"[""820""]"
自动控制原理,合肥工业大学,211高校,安徽,"[""834""]"
自动控制原理,哈尔滨工程大学,211高校,黑龙江,"[""808""]"
自动控制原理,大连海事大学,211高校,辽宁,"[""806""]"
自动控制原理,武汉理工大学,211高校,湖北,"[""848""]"
自动控制原理,江南大学,211高校,江苏,"[""807""]"
自动控制原理,海南大学,211高校,海南,"[""899""]"
自动控制原理,苏州大学,211高校,江苏,"[""842""]"
自动控制原理,西安电子科技大学,211高校,陕西,"[""843""]"
自动控制原理,上海理工大学,普通高校,上海,"[""867""]"
自动控制原理,东北电力大学,普通高校,吉林,"[""841""]"
自动控制原理,中北大学,普通高校,山西,"[""827""]"
自动控制原理,中国民航大学,普通高校,天津,"[""801""]"
自动控制原理,中国科学院沈阳自动化研究所,普通高校,辽宁,"[""857""]"
自动控制原理,兰州理工大学,普通高校,甘肃,"[""835""]"
自动控制原理,内蒙古工业大学,普通高校,内蒙古,"[""827""]"
