id,title,school,school_short,code,total,subject_score,author,year,level,category,undergrad
post-101,南京理工大学 总分425,南京理工大学,南理工,,425,133,上岸同学,26考研,211,自动控制原理,双非
post-102,南京理工大学 总分404,南京理工大学,南理工,,404,119,上岸同学,26考研,211,自动控制原理,211
post-103,南京理工大学 总分405,南京理工大学,南理工,,405,125,上岸同学,26考研,211,自动控制原理,双非
post-104,河海大学 总分398,河海大学,河海,,398,122,上岸同学,26考研,211,自动控制原理,双非
post-105,河海大学 总分433,河海大学,河海,,433,,上岸同学,26考研,211,自动控制原理,双非
post-106,河海大学 总分424,河海大学,河海,,424,,上岸同学,26考研,211,自动控制原理,双非
post-107,河海大学 总分416,河海大学,河海,,416,138,上岸同学,26考研,211,自动控制原理,双非
post-109,河海大学 总分393,河海大学,河海,,393,,上岸同学,26考研,211,自动控制原理,双非
post-110,福州大学 总分383,福州大学,福大,,383,109,oh-No,26考研,211,自动控制理论,双非
post-111,福州大学 总分345,福州大学,福大,,345,110,上岸同学,26考研,211,自动控制原理,双非
post-112,福州大学 总分333,福州大学,福大,,333,,上岸同学,26考研,211,自动控制原理,二本
post-113,福州大学 总分351,福州大学,福大,,351,,小羊94辣么拽,26考研,211,自动控制原理,双非
post-114,福州大学 总分374,福州大学,福大,,374,,上岸同学,26考研,211,自动控制原理,双非
post-115,北京工业大学 总分405,北京工业大学,北工,,405,,,26考研,211,自动控制原理,0基础
post-116,华东理工大学 总分420,华东理工大学,华理,,420,142,,26考研,211,控制原理,跨考
post-117,上海电力大学 总分395,上海电力大学,上海电力,,395,136,,26考研,双非,自动控制原理,双非
post-118,东北大学 总分434,东北大学,东北,,434,150,,26考研,985,自动控制原理,双非
post-119,东北大学 专业课145,东北大学,东北,,,145,,26考研,985,自动控制原理,0基础
post-120,东北大学 总分457,东北大学,东北,,457,143,,26考研,985,电路,211
post-121,东南大学 总分434,东南大学,东南,,434,,,26考研,985,自动控制原理,985
post-122,东南大学 总分401,东南大学,东南,,401,130,,26考研,985,自动控制原理,985
post-123,河海大学 总分426,河海大学,河海,,426,,上岸同学,26考研,211,自动控制原理,二本
post-124,大连海事大学 总分403,大连海事大学,大连海事,,403,140,,26考研,211,自动控制原理,二本
post-125,北京工业大学 总分400,北京工业大学,北工,821,400,138,,26考研,211,自动控制原理,双非
post-126,南京邮电大学 总分359,南京邮电大学,南邮,,359,132,,26考研,双非,自动控制原理,二本
post-127,杭州电子科技大学上岸经验,杭州电子科技大学,杭电,,,,,26考研,双非,自动控制原理,二本
post-128,中国矿业大学 总分408,中国矿业大学,矿大,,408,136,,26考研,211,自动控制原理,
post-129,保研失败上岸某985 总分420+,某985,某985,,420,140,,26考研,985,自动控制原理,985
post-130,华中科技大学 总分365,华中科技大学,华科,,365,113,,26考研,985,自动控制原理,二战
post-131,南京理工大学 总分423,南京理工大学,南理工,,423,119,,26考研,211,自动控制原理,0基础
post-132,南京航空航天大学 总分390,南京航空航天大学,南航,,390,121,,26考研,211,自动控制原理,双非
post-133,杭州电子科技大学 总分400,杭州电子科技大学,杭电,861,400,138,,26考研,双非,自动控制原理,双非
post-134,上海大学 总分402,上海大学,上大,,402,127,,26考研,211,自动控制原理,双非
post-135,天津工业大学 总分388,天津工业大学,天工,,388,132,,26考研,双非,自动控制原理,双非
post-136,南京邮电大学 总分383,南京邮电大学,南邮,,383,133,,26考研,双非,自动控制原理,双非
post-137,苏州大学 总分373,苏州大学,苏大,,373,133,,26考研,211,自动控制原理,双非
post-138,南京邮电大学 总分421,南京邮电大学,南邮,,421,141,,26考研,双非,自动控制原理,双非
post-139,南昌大学 总分401,南昌大学,南昌,,401,142,,26考研,211,自动控制原理,双非
post-140,天津工业大学 总分382,天津工业大学,天工,,382,134,,26考研,双非,电路,双非
post-141,郑州大学 总分426,郑州大学,郑大,,426,137,,26考研,211,电路,双非
post-142,太原理工大学 总分376,太原理工大学,太原理工,,376,137,,26考研,211,自动控制原理,双非
post-143,哈尔滨工程大学 总分390,哈尔滨工程大学,哈工程,,390,133,,26考研,211,自动控制原理,双非
post-144,上海大学 总分383,上海大学,上大,,383,115,,26考研,211,自动控制理论,跨考
post-145,武汉理工大学 总分425,武汉理工大学,武理,,425,141,,26考研,211,自动控制原理,双非
post-146,同济大学 总分426,同济大学,同济,,426,147,,26考研,985,自动控制原理,
post-147,哈尔滨工程大学 总分415,哈尔滨工程大学,哈工程,,415,145,,26考研,211,自动控制原理,双非
post-149,北京科技大学 总分386,北京科技大学,北科,,386,142,,26考研,211,电路,跨考
post-150,大连海事大学 总分402,大连海事大学,大连海事,,402,137,,26考研,211,自动控制原理,双非
post-152,大连海事大学 总分403,大连海事大学,大连海事,,403,129,律安学长,26考研,211,自动控制原理,双非
post-153,中国矿业大学 总分430,中国矿业大学,矿大,,430,139,,26考研,211,自动控制原理,二战
post-154,华东理工大学 总分430,华东理工大学,华理,816,430,142,,26考研,211,控制原理,双非
post-155,电子科技大学 总分379,电子科技大学,电子科大,,379,125,,26考研,985,自动控制原理,211
post-156,南京信息工程大学 总分384,南京信息工程大学,南信大,,384,122,,26考研,双非,自动控制原理,双非
post-157,杭州电子科技大学 总分378,杭州电子科技大学,杭电,,378,140,,26考研,双非,自动控制原理,双非
post-158,杭州电子科技大学 总分416,杭州电子科技大学,杭电,861,416,124,,26考研,双非,自动控制原理,双非
post-159,青岛大学 专业课107,青岛大学,青岛,,,107,,26考研,双非,自动控制原理,0基础
post-160,燕山大学 总分267,燕山大学,燕大,,267,90,,26考研,双非,自动控制原理,民办
post-162,电子科技大学 总分412,电子科技大学,电子科大,839,412,136,,26考研,985,控制原理,211
post-163,福州大学 专业课130,福州大学,福大,,,130,,26考研,211,自动控制原理,在职
post-164,福州大学 总分414,福州大学,福大,,414,127,,26考研,211,自动控制原理,双非
post-165,福州大学 总分437,福州大学,福大,,437,133,,26考研,211,自动控制原理,二本
post-166,河北工业大学 总分333,河北工业大学,河工大,,333,121,,26考研,211,自动控制原理,跨考
post-167,北京航空航天大学 总分396,北京航空航天大学,北航,,396,,,26考研,985,自动控制原理,三本
post-168,郑州大学 总分401,郑州大学,郑大,,401,131,,26考研,211,自动控制原理,双非
post-169,南京航空航天大学 总分361,南京航空航天大学,南航,,361,,,26考研,211,自动控制原理,跨考
post-170,上海交通大学 总分375,上海交通大学,上交,817,375,121,,26考研,985,自动控制原理,跨考
post-171,中国石油大学 总分400,中国石油大学,中国石油,,400,142,,26考研,211,电路,双非
