company,date,deadline,positions,note,apply_url,notice_url,types,industries,locations,grades,exam
汇川技术,2026-08-01,招满为止,运动控制算法工程师、控制算法工程师、伺服/电机控制、方案研发工程师,汇川技术2027届校园招聘首批岗位上新，控制算法/运动控制对口；以官方公众号「汇川技术招聘」为准,https://campus.niuqizp.com/job-vwr5zCLZ5.html,https://career.smbu.edu.cn/detail/online?id=3532965,提前批|校园招聘,工业自动化|智能制造|运动控制,深圳|苏州,2027届,
中控技术,2026-08-01,招满为止,自动化控制工程师、DCS/过程控制工程师、工业软件/Industrial AI 工程师,中控技术校招持续进行，DCS、过程控制、工业AI对口岗位，官网投递 supcontech.com/join.html,http://supcontech.com/join.html,http://jy.ncu.edu.cn/detail/job?id=2612130,校园招聘,工业自动化|过程控制(DCS)|工业软件,杭州,2027届,
和利时,2026-08-01,招满为止,自动化工程师、DCS/过程控制工程师、PLC工程师,和利时科技集团及杭州和利时持续校招，DCS/过程控制/自动化对口,https://job.bit.edu.cn/frontpage/bit/html/recruitmentinfoForm.html?positionDetailId=237edcd2b79e400cbc203d46771a943d,https://www.career.zju.edu.cn/jyxt/sczp/zpztgl/ckZpgwXq.zf?zpxxbh=4E8C9AB5DA1263CDE0653A68DD0E9B18,校园招聘,工业自动化|过程控制(DCS),杭州|北京,2027届,
埃斯顿,2026-08-01,招满为止,运动控制算法工程师、机器人控制算法、伺服驱动工程师,埃斯顿2027届秋招宣讲会已启动，运动控制/机器人/伺服对口,https://m.yingjiesheng.com/xuanjianghui/xjh_6144736,https://job.hust.edu.cn/zpinfo1/2290043.htm,校园招聘|秋招,工业自动化|工业机器人|运动控制,南京,2027届,
新松机器人,2026-08-01,招满为止,运动控制算法工程师、机器人控制算法工程师、算法工程师,沈阳新松机器人2026春招进行中，含运动控制算法岗位；2027届秋招以官方为准,https://www.wondercv.com/xiaozhao/shenyang-xinsong-2026-spring-7564-3bd174/,https://m.yingjiesheng.com/xuanjianghui/xjh_6002828,校园招聘|春招,工业机器人|智能制造,沈阳,2026届|2027届,
绿的谐波,2026-08-01,招满为止,控制算法工程师、电气工程师、机械/助理工程师,苏州绿的谐波传动科技校招+社招，控制/电气对口岗位,https://dwrc.cn/Web/Function/SchoolRecruit/SchoolJobDetails.aspx?PID=c890f02d-59a3-47d8-b965-b043d99aba94,,校园招聘|社招,工业自动化|谐波减速器/精密传动,苏州,2027届,
台达,2026-08-01,招满为止,控制工程师、自动化工程师、驱动/伺服工程师,台达集团2027届研发暑期营报名开启，自动化/驱动对口,https://m.delta-china.com.cn/zh-CN/career/join,https://v.wjx.cn/vm/tKW356q.aspx,校园招聘|提前批,工业自动化|电源|智能制造,上海|苏州,2027届,
施耐德电气,2026-08-01,招满为止,自动化/电气工程师、数字化工程师、PLC/工业软件工程师,施耐德电气2027届秋招「新星计划」提前批已启动，多地岗位,https://campus.niuqizp.com/job-vwr5aLLNM.html,https://m.wh.bendibao.com/job/199755.shtm,提前批|校园招聘,工业自动化|电气|能源管理,北京|上海|广州|西安|厦门|武汉,2027届,
西门子,2026-08-01,招满为止,数字化工业/自动化与驱动工程师、自动化测试工程师,西门子中国校招官方入口，2026秋招提前批已结束，2027届以官方为准,https://www.siemens.com/zh-cn/company/jobs/campus-recruiting/,https://sfi.cuhk.edu.cn/zh-hans/node/8765,校园招聘,工业自动化|数字化工业|电气,北京|上海,2027届,
ABB,2026-08-01,招满为止,电气工程师、控制工程师、自动化工程师,ABB中国2026届校招已启动并开放2027届实习，电气/控制对口,https://campus.niuqizp.com/job-vsY5zNZzt.html,https://24365.cq.smartedu.cn/campus/view/id/713468/mark/cqu,校园招聘|实习,工业自动化|电气|工业机器人,北京|上海,2026届|2027届,
