major_code,major_name,full_text
080200,机械工程,080200 机械工程
080202,机械电子工程,080202 机械电子工程
080204,车辆工程,080204 车辆工程
0802J1,人工智能,0802J1 人工智能
0802J1,低空技术与工程,0802J1低空技术与工程
0802J1,智能仪器与装备,0802J1 智能仪器与装备
0802J2,航天仿生科学与技术,0802J2 航天仿生科学与技术
0802J7,仿生与人形机器人,0802J7 仿生与人形机器人
0802Z2,流体传动与控制,0802Z2 流体传动与控制
080400,仪器科学与技术,080400 仪器科学与技术
080400,仪器科学与技术01方向,080400 仪器科学与技术01方向
080400,仪器科学与技术02方向,080400 仪器科学与技术02方向
080703,动力机械及工程,080703 动力机械及工程
080800,电气工程,080800 电气工程
080804,电力电子与电力传动,080804 电力电子与电力传动
08100Z1,控制科学与智能工程,08100Z1 控制科学与智能工程
081100,控制工程,081100 控制工程
081100,控制科学与工程,081100 控制科学与工程
081100,"控制科学与工程
00 不区分研究方向","081100控制科学与工程
00 不区分研究方向"
081100,控制科学与工程 01/04方向,081100 控制科学与工程 01/04方向
081100,控制科学与工程 01方向,081100 控制科学与工程 01方向
081100,控制科学与工程 02方向,081100 控制科学与工程 02方向
081100,控制科学与工程 03方向,081100 控制科学与工程 03方向
081100,控制科学与工程 04方向,081100 控制科学与工程 04方向
081100,控制科学与工程 05方向,081100 控制科学与工程 05方向
081100,控制科学与工程01,081100 控制科学与工程01
081100,控制科学与工程01基础计划,081100 控制科学与工程01基础计划
081100,控制科学与工程02,081100 控制科学与工程02
081100,控制科学与工程02青岛创新发展基地专项,081100 控制科学与工程02青岛创新发展基地专项
081100,控制科学与工程03,081100 控制科学与工程03
081100,控制科学与工程03海南(三亚)专项,081100 控制科学与工程03海南(三亚)专项
081100,控制科学与工程04,081100 控制科学与工程04
081100,控制科学与工程05,081100 控制科学与工程05
081100,控制科学与工程06,081100 控制科学与工程06
081101,控制理论与控制工程,081101 控制理论与控制工程
081102,检测技术与自动化装置,081102 检测技术与自动化装置
081103,系统工程,081103 系统工程
081104,模式识别与智能系统,081104 模式识别与智能系统
081105,导航、制导与控制,081105 导航、制导与控制
0811J1,人工智能,0811J1 人工智能
0811J1,人工智能科学与工程,0811J1 人工智能科学与工程
0811J1,低空技术与工程,0811J1 低空技术与工程
0811J1,机器人科学与工程,0811J1 机器人科学与工程
0811J2,低空技术与工程,0811J2 低空技术与工程
0811J2,水下智能技术01,0811J2 水下智能技术01
0811J2,水下智能技术02,0811J2 水下智能技术02
0811J3,低空技术与工程,0811J3 低空技术与工程
0811J9,智能医学诊疗,0811J9 智能医学诊疗
0811Z1,低空智能控制工程,0811Z1 低空智能控制工程
0811Z1,智能建筑,0811Z1 智能建筑
0811Z1,机器人科学与工程,0811Z1 机器人科学与工程
082300,交通运输工程,082300 交通运输工程
082300,交通运输工程 06 智能网联交通控制工程,082300 交通运输工程 06 智能网联交通控制工程
082302,交通信息工程及控制,082302 交通信息工程及控制
0823J1,低空技术与工程,0823J1 低空技术与工程
0823Z1,低空安全技术与工程,0823Z1 低空安全技术与工程
082400,船舶与海洋工程,082400 船舶与海洋工程
082400,船舶与海洋工程 02方向,082400 船舶与海洋工程 02方向
082500,航空宇航科学与技术,082500 航空宇航科学与技术
082500,航空宇航科学与技术 02方向,082500 航空宇航科学与技术 02方向
082500,航空宇航科学与技术 02飞行动力学与控制,082500 航空宇航科学与技术 02飞行动力学与控制
082501,飞行器设计,082501 飞行器设计
0825J2,低空经济,0825J2 低空经济
082600,兵器科学与技术,082600 兵器科学与技术
082804,农业电气化与自动化,082804 农业电气化与自动化
0837J1,航空器适航审定工程 03 机载系统与设备适航审定,0837J1航空器适航审定工程 03 机载系统与设备适航审定
085004,航天工程,085004 航天工程
085400,电子信息,085400 电子信息
085400,电子信息 (01) 控制工程,085400 电子信息 (01) 控制工程
085400,电子信息 (04)智能技术,085400 电子信息 (04)智能技术
085400,电子信息 (70) 控制工程,085400 电子信息 (70) 控制工程
085400,电子信息 02新一代电子信息技术,085400 电子信息 02新一代电子信息技术
085400,电子信息 03 人工智能与自动化工程,085400 电子信息 03 人工智能与自动化工程
085400,电子信息 03控制工程,085400 电子信息 03控制工程
085400,电子信息 04 人工智能与自动化工程（中德平台）,085400 电子信息 04 人工智能与自动化工程（中德平台）
085400,电子信息 07智慧农业与生态,085400 电子信息 07智慧农业与生态
085400,电子信息 方向4（安光所，等离子体所、智能所）,085400 电子信息 方向4（安光所，等离子体所、智能所）
085400,电子信息(01) 新一代电子信息技术,085400 电子信息(01) 新一代电子信息技术
085400,电子信息(11) 控制工程,085400 电子信息(11) 控制工程
085400,电子信息01/03方向,085400 电子信息01/03方向
085400,电子信息01基础计划,085400 电子信息01基础计划
085400,电子信息01控制工程,085400 电子信息01控制工程
085400,电子信息01智能控制与自主系统,085400 电子信息01智能控制与自主系统
085400,电子信息01航天光电信息,085400 电子信息01航天光电信息
085400,电子信息01超精密技术,085400 电子信息01超精密技术
085400,电子信息02 人工智能与控制工程,085400 电子信息02 人工智能与控制工程
085400,电子信息02人工智能,085400 电子信息02人工智能
085400,电子信息02控制工程,085400 电子信息02控制工程
085400,电子信息02长三角研究院（南通）专项,085400 电子信息02长三角研究院（南通）专项
085400,电子信息02飞行器导航制导与控制,085400 电子信息02飞行器导航制导与控制
085400,电子信息03微系统工程,085400 电子信息03微系统工程
085400,电子信息03控制工程,085400 电子信息03控制工程
085400,电子信息03龙江工程师学院专项（智能制造）,085400 电子信息03龙江工程师学院专项（智能制造）
085400,电子信息04控制工程,085400 电子信息04控制工程
085400,电子信息04青岛创新发展基地专项,085400 电子信息04青岛创新发展基地专项
085400,电子信息05控制工程,085400 电子信息05控制工程
085400,电子信息05海南（三亚）专项,085400 电子信息05海南（三亚）专项
085400,电子信息06控制工程,085400 电子信息06控制工程
085400,电子信息07仪器仪表工程,085400 电子信息07仪器仪表工程
085400,电子信息07控制工程,085400 电子信息07控制工程
085400,电子信息08智能制造,085400 电子信息08智能制造
085400,电子信息08智能感知工程,085400 电子信息08智能感知工程
085400,电子信息09海洋技术与工程,085400 电子信息09海洋技术与工程
085400,电子信息11智能感知工程,085400 电子信息11智能感知工程
085400,电子信息13智能感知工程,085400 电子信息13智能感知工程
085400,电子信息15智能感知工程,085400 电子信息15智能感知工程
085400,电子信息16智能感知工程,085400 电子信息16智能感知工程
085400,电子信息17智能感知工程,085400 电子信息17智能感知工程
085400,电子信息（01、02、03方向）,085400 电子信息（01、02、03方向）
085400,电子信息（02、03方向）,085400 电子信息（02、03方向）
085400,电子信息（03、04、05方向）,085400 电子信息（03、04、05方向）
085400,电子信息（04方向（中法联培专项））,085400 电子信息（04方向（中法联培专项））
085400,电子信息（沃特福德学院-中外合作办学）,085400 电子信息（沃特福德学院-中外合作办学）
085401,新一代电子信息技术,085401 新一代电子信息技术
085403,集成电路工程,085403 集成电路工程
085406,控制工程,085406 控制工程
085406,"控制工程
00 不区分研究方向","085406 控制工程
00 不区分研究方向"
085407,仪器仪表工程,085407 仪器仪表工程
085410,人工智能,085410 人工智能
085410,人工智能 01方向,085410 人工智能 01方向
085500,机械,085500 机械
085500,机械 01/02方向,085500 机械 01/02方向
085500,机械 01（全日制）智能制造,085500 机械 01（全日制）智能制造
085500,机械 02（全日制）未来科技与产业项目,085500 机械 02（全日制）未来科技与产业项目
085500,机械 12航空航天工程（含飞行器设计、人机与环境工程、航空宇航推进理论与工程、空天飞行器结构与防护四个学科方向）,085500 机械 12航空航天工程（含飞行器设计、人机与环境工程、航空宇航推进理论与工程、空天飞行器结构与防护四个学科方向）
085500,机械 31航天工程（深圳校区）,085500 机械 31航天工程（深圳校区）
085500,机械 43航空航天工程（郑州基地）,085500 机械 43航空航天工程（郑州基地）
085500,机械 62航空航天工程（苏州基地）,085500 机械 62航空航天工程（苏州基地）
085501,机械工程,085501 机械工程
085502,车辆工程,085502 车辆工程
085503,航空工程,085503 航空工程
085510,机器人工程,085510 机器人工程
085705,矿业工程,085705 矿业工程
085800,能源动力,085800 能源动力
085801,电气工程,085801 电气工程
085808,储能技术,085808 储能技术
085900,土木水利,085900 土木水利
086100,交通运输,086100 交通运输
086101,轨道交通运输,086101 轨道交通运输
086102,道路交通运输,086102 道路交通运输
086104,航空交通运输 04 通用航空运行管理与技术,086104 航空交通运输 04 通用航空运行管理与技术
086104,航空交通运输 08 机载系统和设备适航技术,086104 航空交通运输 08 机载系统和设备适航技术
0863S1,机器人技术,0863S1 机器人技术
089901,低空技术与工程,089901 低空技术与工程
089901,先进能源,089901 先进能源
089902,低空技术与工程 32控制科学与工程,089902 低空技术与工程 32控制科学与工程
089902,无人系统科学与技术,089902 无人系统科学与技术
089902,智能电动车辆,089902 智能电动车辆
089903,低空技术与工程,089903 低空技术与工程
089903,低空技术与工程 02方向,089903 低空技术与工程 02方向
089906,低空技术与工程,089906 低空技术与工程
140500,智能科学与技术,140500 智能科学与技术
