school_name,book_text
北京科技大学,《自动控制原理》（第七版），胡寿松，科学出版社，2019年
北京科技大学,《自动控制原理》，董洁、丁大伟、张传放、任莹莹，冶金工业出版社，2025年
华中科技大学,官方未公布初试参考书目
大连交通大学,《自动控制原理》，王建辉，清华大学出版社，2014年第2版
江南大学,《自动控制原理》（第六版），胡寿松，科学出版社
江南大学,《自动控制原理》（第二版），潘丰、徐颖秦，机械工业出版社
华北电力大学（保定）,官方未公布初试参考书目
南通大学,《自动控制原理》（含现代控制理论）：胡寿松，科学出版社，第七版，2019年。
安徽大学,官方未公布初试参考书目
贵州大学,《自动控制理论》（第4版），夏德钤，机械工业出版社，2013年
贵州大学,《自动控制原理》（第七版），胡寿松，科学出版社，2019年
清华大学,未公布参考教材
中国科学技术大学,《现代控制系统》，第14版，R. C. Dorf，R. H. Bishop，谢红卫译，2023年12月，人民邮电出版社。第1、2章（除2.7节外），第4-10章（除6.3、6.4、7.5、8.5、10.9、10.11节外）。
中国科学技术大学,《线性系统理论和设计》，仝茂达编著，中国科学技术大学出版社，2012年，前七章。
哈尔滨工业大学,801 控制原理
哈尔滨工业大学,(1) 裴润，宋申民，《自动控制原理》（上、下册），哈尔滨工业大学出版社，2006
哈尔滨工业大学,(2) 胡寿松，《自动控制原理》第七版，科学出版社，2019
哈尔滨工业大学,(3) 刘豹、唐万生，《现代控制理论》第三版，机械工业出版社，2006
哈尔滨工业大学,807航空宇航力学与控制基础
哈尔滨工业大学,[1] 理论力学：理论力学(I)-第8版，哈工大学理论力学教研室编，高等教育出版社，2016
哈尔滨工业大学,[2] 《自动控制原理(第四版)》，梅晓榕，科学出版社
上海交通大学,816自动控制原理：
上海交通大学,《自动控制理论与设计》(新版) 徐薇莉、田作华编著上海交通大学出版社 2007； 《现代控制理论基础》施颂椒、陈学中、杜秀华编著高等教育出版社 2009； 《工程控制基础》（第2版），翁正新、田作华、陈学中、韩正之编著，清华大学出版社出版，2016年9月。
上海交通大学,817自动控制原理：
上海交通大学,《工程控制基础》(第一版)田作华、陈学中、翁正新 清华大学出版社 2007
北京航空航天大学,官方未公布初试参考书目
山东大学,《自动控制原理》(第六版)，胡寿松主编
山东大学,复试科目
山东大学,控制科学与工程学院
山东大学,学硕： 非数学专业的考生：必考科目：《电子技术基础（包括模拟、数字）》选考科目：《微机原理及应用》、《信号分析与处理》二选一数学专业的考生：必考科目：《数学分析》选考科目：《概率论》《泛函分析》二选一
山东大学,专硕：必考科目：《电子技术基础（包括模拟、数字）》选考科目：《微机原理及应用》《信号分析与处理》二选一
山东大学,海洋研究院
山东大学,电子技术基础（包括模拟、数字）、数据结构二选一
山东大学,空间科学与技术学院
山东大学,大学物理
山东大学,低空科学与工程学院
山东大学,数字电子技术基础
山东大学,复试参考书
山东大学,1、《数学分析》（第二版），陈纪修、於崇华、 金路编，高等教育出版社，2004；
山东大学,2、《数学分析》（第四版），华东师范大学数学系编， 高等教育出版社，2010；
山东大学,3、《概率论基础》（第二版），复旦大学，李贤平主编，高 等教育出版社，1997 年版；
山东大学,4、《实变函数与泛函分析》，严绍宗，童裕孙编著，经济 科学出版社，1992 年出版；
山东大学,5、《概率论与数理统计》，茆诗松、周纪芗编著，中国统 计出版社；
山东大学,6、《模拟电子技术基础》（第五版），清华大学电子学教研组编，原主编童诗白化成英，修订者华成英叶朝辉，高等教育出版社；
山东大学,7、《模拟电子技术基础》王济浩编著，清华大学出版社；
山东大学,8、《数字电子技术基础》（第六版），清华大学电子学教研组编，主编阎石，修订者阎石王红，高等教育出版社；
山东大学,9、《数字电子技术基础》，范爱平周常森编著，清华大学出版社；
山东大学,10、《微型计算机原理与接口技术》第三版，张荣标，机械工业出版社；
山东大学,11、《信号分析与处理》，杨西侠，机械工业出版社，2007 年版
山东大学,12、《数据结构》严蔚敏、吴伟民编著，清华大学出版社2009年版
山东大学,13、康华光.电子技术基础(数字部分)(第6版)[M].北京:高等教育出版社2014年版
